expletive, 15
US Naval Reserve, 1
measles, -42
unmuzzling, -6
classist, 1
public speaking, 9
inconsequential, -45
representative government, 10
richer, 1
testimonial banquet, 21
dwelling, 25
prat, 6
out of measure, 2
islanded, -1
colorado, 3
deep-sunken, 1
floppiness, -3
apnea, -18
matter of fact, 20
get cold feet, 3
maxillary, 2
lumbar, 1
solitudinarian, -2
evasiveness, 17
bitter end, 25
first-chop, 7
weather ship, 3
veloce, 2
dually, 1
crescentiform, 8
get a fix, 18
liege man, 27
cerebrum, 8
light-blue, 2
exercise, 216
marine animal, 6
villainousness, -2
make a funny, 7
chromism, 12
summons of death, 16
pawn, 67
sandwiching, -2
Diana, -3
bewitchment, 63
cheaters, 2
unamazement, 3
picking and choosing, 1
cirrus haze, 6
satisfying, 83
undamped, -3
Chiroptera, 3
spine-chilling, 5
clothier, 1
sax, 15
colluvies, 9
funnyman, 8
floweret, 4
cobalt green, 3
disrelated, -25
feline, 67
whyfor, 7
arcadian, -13
snoopy, 10
Rhesus factor, 8
unrealistic, 5
lenity, 49
manic depressive, 1
aeromotor, 6
rapid fire, 20
tautological, -1
sodality, 39
outcrop, 26
mail-order buying, 2
unremorsefully, -4
valiantly, 7
dent, 55
n-tuple linear algebra, 2
join the opposition, 3
break out, 3
booth, 24
county police, 6
debiting, 3
sparging, 14
slop pail, 2
appreciable, 27
documentary, 88
working on, 18
podgy, 44
know inside out, 1
doctrinary, 3
indirect initiative, 2
amanuensis, 39
fire hook, 13
festooned pahoehoe, 8
enigmatic, -10
recollected, 18
disembarrass, -30
heave out, -10
unintermittingly, 3
householder, -8
uncompassionately, -4
hoot owl, 1
objurgate, 15
compatriot, 17
selling agent, 2
Arcadia, 15
despising, -21
Ionic, 3
loftily, 7
pluvious, 5
electronic-flash unit, 1
list price, 6
intrepid, 22
environs, 51
ten cents, 14
schoolmastering, 6
Paul Revere, 10
pheon, 52
cola, -1
commixture, 20
bicycle seat, 3
compurgation, 26
suffragism, 3
mass-produce, 15
dissociated, -25
callus, -8
cave art, 11
security agreement, 1
rural economy, 10
tangential, 11
proclamation, 58
be apprised of, 20
falcade, 6
biographical sketch, 26
gear train, 9
jostle, 70
broad spectrum, 23
